4	tpryan	@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.	6
4	vcu451	Reading my kindle2...  Love it... Lee childs is good read.	13
4	chadfu	Ok, first assesment of the #kindle2 ...it fucking rocks!!!	11
4	SIX15	@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)	13
4	yamarama	@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)	5
4	GeorgeVHulme	@richardebaker no. it is too big. I'm quite happy with the Kindle2.	7
0	Seth937	Fuck this economy. I hate aig and their non loan given asses.	10
4	dcostalis	Jquery is my new best friend.	9
4	PJ_King	Loves twitter	16
4	mandanicole	how can you not love Obama? he makes jokes about himself.	6
2	jpeb	Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM	9
0	kylesellers	@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism	11
4	theviewfans	House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation	10
4	MumsFP	Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!	9
0	vincentx24x	dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x	5
4	cameronwylie	#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2	17
0	luv8242	I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.	17
4	mtgillikin	i love lebron. http://bit.ly/PdHur	8
0	ursecretdezire	@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.	7
4	Native_01	@Pmillzz lebron IS THE BOSS	8
4	princezzcutz	@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol	11
4	peterlikewhat	lebron and zydrunas are such an awesome duo	10
4	emceet	@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.	7
4	CocoSavanna	downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.	9
4	DreambigRadio	good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!	10
4	andrewwatson	http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)	3
4	fredwilson	In montreal for a long weekend of R&amp;R. Much needed.	8
